DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061090,Other,7300,36500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042190,Other,251,376.5,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,4896,25948.8,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,4896,25948.8,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,2259,13131,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,UG,Heathrow,UG,Uganda,GB,GB,7093000,Aubergines (eggplants),15,98,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,IE,IE,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,1800,5400,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TH,Manchester,TH,Thailand,GB,GB,7096099,Other,20,59.5,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TH,Manchester,TH,Thailand,GB,GB,7093000,Aubergines (eggplants),16,80,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TH,Manchester,TH,Thailand,GB,GB,7082000,Beans (Vigna spp. Phaseolus spp.),17,81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,CN,Felixstowe  P,CN,China,GB,GB,12024200,Shelled whether or not broken,20,18500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,CN,Felixstowe  P,CN,China,GB,GB,12024200,Shelled whether or not broken,800,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Felixstowe  P,JP,Japan,GB,GB,7139000,Other,78,1314,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Felixstowe  P,JP,Japan,GB,GB,10063092,Round grain,78,1314,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
