DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,280,7000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,40,1000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B2,Satisfactory,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G1,Satisfactory,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G2,Satisfactory,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,120,3000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,40,1000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
